,x,y,z,xp2,yp2,zp2,dist
0,0.001140754,0.012591803,0.098380009,0.082134316,0.906609798,7.083360664,
1,0.061468622,0.061519918,0.056175581,4.425740802,4.429434121,4.044641867,6.36482682
2,0.063948074,0.089539814,0.058649713,4.604261341,6.446866642,4.222779353,2.033134654
3,0.039762951,0.103783444,0.087179111,2.862932487,7.472407992,6.276895957,2.881554488
4,0.076,0.108998318,0.099646087,5.472,7.847878875,7.174518268,2.784589285
5,0.123304074,0.114126115,0.089,8.877893349,8.217080305,6.408,3.510551161
6,0.190710455,0.146650879,0.083014368,13.73115276,10.55886332,5.977034501,5.405904722
7,0.153360719,0.153360719,0.077443739,11.04197178,11.04197178,5.575949178,2.761513638
8,0.21252154,0.178571815,0.072260187,15.30155089,12.85717065,5.202733478,4.645239619
9,0.197295594,0.215178599,0.063735251,14.20528278,15.4928591,4.588938062,2.919829136
10,0.178734044,0.235707716,0.069,12.86885117,16.97095552,4.968,2.028424616
11,0.195982482,0.223504574,0.07497544,14.11073872,16.09232936,5.398231673,1.580938932
12,0.160691772,0.252042412,0.056961682,11.56980758,18.1470537,4.101241129,3.515737139
13,0.144011737,0.210017971,0.107016023,10.3688451,15.12129391,7.705153624,4.856512993
14,0.122307774,0.264866783,0.101597415,8.806159738,19.07040838,7.31501387,4.264938409
15,0.084867165,0.21,0.087556113,6.110435865,15.12,6.304040141,4.888222727
16,0.067,0.16,0.103014492,4.824,11.52,7.417043412,3.98166969
17,0.06689488,0.114594354,0.087546741,4.816431336,8.250793452,6.303365364,3.453700556
18,0.042047744,0.11,0.078780184,3.027437534,7.92,5.672173243,1.925701593
19,0.080372341,0.133050313,0.102943649,5.786808576,9.579622539,7.411942697,3.659955366
20,0.014363183,0.103517003,0.085153349,1.034149208,7.45322421,6.131041133,5.361907286
21,0.018405682,0.030931743,0.080495402,1.325209134,2.227085519,5.795668934,5.244970545
22,-0.01904749,0.079073992,0.046379612,-1.371419292,5.693327433,3.339332097,5.031920959
23,-0.034,0.112142126,0.08839363,-2.448,8.074233076,6.364341325,3.997301406
24,-0.034,0.122421788,0.092217452,-2.448,8.814368741,6.639656526,0.789683014
25,-0.045124699,0.070425922,0.052500859,-3.248978341,5.070666393,3.780061825,4.77850975
26,-0.044207687,0.148731753,0.056334496,-3.182953472,10.70868624,4.056083721,5.645158562
27,-0.052724936,0.227037585,0.083146364,-3.796195382,16.34670609,5.986538195,5.990825313
28,-0.056707331,0.245,0.054769926,-4.082927819,17.64,3.943434662,2.43497365
29,-0.094174477,0.260503776,0.077792045,-6.780562359,18.75627184,5.601027212,3.357217298
30,-0.116372534,0.288792523,0.075,-8.378822413,20.79306166,5.4,2.596798013
31,-0.124768015,0.246955676,0.072941176,-8.983297102,17.78080867,5.251764677,3.075878969
32,-0.137517773,0.241065182,0.063822309,-9.901279632,17.35669311,4.595206252,1.205667823
33,-0.125,0.19354203,0.05,-9,13.93502616,3.6,3.675669347
34,-0.11595311,0.2,0.037704421,-8.348623915,14.4,2.714718308,1.193404854
35,-0.195415995,0.2,0.040502918,-14.06995168,14.4,2.916210081,5.724874695
36,-0.187996412,0.205099331,0.037515792,-13.53574166,14.76715183,2.701137057,0.682962086
37,-0.148,0.188500239,0.03660824,-10.656,13.57201721,2.635793312,3.118577978
38,-0.137,0.141764104,0.04437867,-9.864,10.20701546,3.195264259,3.501929253
39,-0.09205125,0.114598237,0.070464828,-6.627689988,8.251073075,5.073467591,4.222210426
40,-0.14476991,0.102911756,0.067772863,-10.42343354,7.409646407,4.879646171,3.892715596
41,-0.09,0.091225274,0.080635061,-6.48,6.568219739,5.805724406,4.137183564
42,-0.039392214,0.072613533,0.097610068,-2.836239397,5.228174408,7.027924921,4.070194948
43,-0.038284093,0.02930482,0.053616194,-2.756454663,2.109947015,3.860365959,4.445575043
44,-0.038480246,-0.038480246,0.061039898,-2.770577707,-2.770577707,4.394872647,4.909726919
45,-0.044718068,-0.033948246,0.046494452,-3.219700929,-2.444273709,3.347600523,1.18531214
46,-0.093192283,-0.029416246,0.036359787,-6.709844362,-2.11796971,2.617904654,3.580507163
47,-0.142299962,0.0001,0.045592497,-10.24559725,0.0072,3.282659778,4.178491849
48,-0.143075833,0.038740089,0.070574172,-10.30145996,2.789286427,5.081340362,3.313363452
49,-0.066314818,0.06095969,0.06,-4.77466688,4.389097701,4.32,5.803832957
50,-0.099336378,0.020324205,0.043314323,-7.152219194,1.463342727,3.118631274,3.95677697
51,-0.15,-0.020191412,0.063749892,-10.8,-1.453781659,4.58999225,4.897021811
52,-0.135476401,-0.02477846,0.081936947,-9.754300859,-1.784049138,5.899460194,1.708001639
53,-0.18,0.046068237,0.07,-12.96,3.316913083,5.04,6.085638371
54,-0.2,0.002432893,0.05625858,-14.4,0.175168263,4.050617729,3.594862694
55,-0.147561073,-0.022353774,0.056,-10.62439725,-1.609471705,4.032,4.176177983
56,-0.237536113,-0.042919489,0.056193508,-17.10260014,-3.090203206,4.04593256,6.645289499
57,-0.191488263,-0.060076273,0.099050301,-13.78715494,-4.325491689,7.131621665,4.694634359
58,-0.212482712,-0.09832866,0.070202335,-15.29875526,-7.079663529,5.054568121,3.76623811
59,-0.256624725,-0.143537564,0.057182907,-18.47698023,-10.33470458,4.11716928,4.64490288
60,-0.269575242,-0.161136157,0.031992433,-19.40941744,-11.6018033,2.303455158,2.400945073
61,-0.245483553,-0.205874354,0.042080384,-17.67481582,-14.8229535,3.029787613,3.729907532
