pixel,x,y
0,510.00923958801707,304.30805992823747
1,524.3496157584508,331.36326984449573
2,474.91401495667196,313.2563715671664
3,485.4226127351405,238.4326209796457
4,453.10981009613283,192.58710054218474
5,606.0772999991093,124.39329030555598
6,519.6837115938167,171.85891845396054
7,458.69077709161434,90.69188813723008
8,470.3514330049546,135.55649248705612
9,425.29642406208245,43.58861134721603
10,439.7076459783346,133.94963584252582
11,384.0428970325071,81.80705641255247
12,435.54737585836506,129.944671960495
13,395.24788214025267,179.6423501189299
14,406.90645299394043,227.65856922604596
15,441.5625328464525,234.86501973394692
16,425.5853212608902,311.9277632450559
17,380.52483092380834,334.7978371515239
18,433.9640970077727,392.21292939514535
19,385.6969619753882,422.93748119061206
20,433.3642488510488,469.95152586657895
21,417.3031676144718,525.0315864921699
22,385.3221935090342,560.5344292963707
23,303.7279349264037,549.6144031695577
24,290.57430256911164,526.5758913724295
25,315.8762720310327,499.3866812294076
26,328.72212601187135,432.3054626228442
27,328.4379886253625,363.9223039097538
28,329.7084007152101,339.2061411773569
29,271.2895577303688,307.354999643127
30,319.15152050995636,258.0468106711069
31,293.93932380819916,211.34278675935943
32,292.6677479062596,141.72051667800855
33,292.9576382929743,92.65469340956902
34,276.7217007035099,82.75144958267812
35,196.6882650823578,74.4695710495726
36,137.68332460372557,50.22793193585791
37,129.9491618188864,102.29374008717258
38,132.33114316549202,182.5479366303964
39,177.18201242506592,265.08712576730744
40,191.70140776474605,304.3159207437312
41,110.7185459891627,323.02791075514165
42,198.83360222745836,345.2779621721172
43,163.34448409805444,421.63679219782284
44,160.49333500729338,448.17256478479504
45,137.00876249339711,490.4244609303686
46,156.4940766790194,532.0562095648957
47,191.11995139267452,610.5522293173175
48,171.72496628749334,680.158469933288
49,141.14455710462835,694.8768353487955
