pixel,x,y
0,462.3328306,611.6671678
1,0,0
2,491.7505236,612.0157226
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,547.6475356,550.8211298
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,478.9999979,587.9999975
19,0,0
20,0,0
21,467.4940539,610.7987355
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,398.688172,640.1215747
47,369.9999992,625.5033246
48,374.2521548,619.2726286
49,0,0
50,0,0
51,339.9999985,610.9999972
52,0,0
53,315.9999986,569.9999975
54,0,0
55,0,0
56,0,0
57,341.6084481,608.1933383
58,328.9999986,617.9999973
59,303.2127137,625.5949465
60,295.6471624,639.9320497
61,309.7212656,644.5567978
62,321.5568433,631.6126767
63,336.9120632,631.6352524
64,349.9943831,628.8368706
65,344.9851378,615.498938
66,365.8688687,635.8853851
67,0,0
68,0,0
69,431.9999982,624.9999974
70,422.6559554,647.6711652
71,410.8639596,649.0409383
72,401.9860751,631.9986074
73,410.6559761,603.034525
74,375.9999992,623.4955738
75,401.6766385,594.0783191
76,387.2845564,633.7224577
77,419.8421583,635.2570293
78,433.8261878,643.5246645
79,444.6392995,670.1233257
80,459.0566014,665.9436422
81,482.7087161,664.3864837
82,496.6618424,652.6686682
83,510.0399802,638.6802995
84,504.4033191,669.2074683
85,524.2990559,660.1718712
86,525.5146433,658.9999986
87,487.6118387,627.0403862
88,500.015348,644.1591448
89,478.6558203,616.9236608
90,480.0683181,641.0574532
91,0,0
92,0,0
93,514.8353136,615.0498756
94,510.5107687,610.4851276
95,532.3952392,607.8124508
96,543.3396391,621.0766394
97,570.9770686,621.6457446
98,547.5531866,591.4109451
99,559.9466581,596.8166765
100,0,0
101,576.2077332,614.3023445
102,582.7728539,614.8404089
103,604.010413,613.9353523
104,618.0673321,612.3904718
105,609.1981127,593.5874781
106,594.9999975,596.9999975
107,0,0
108,584.2489748,614.0266387
109,549.8077722,622.1613461
110,523.0071235,601.9955474
111,510.6326593,629.4071381
112,0,0
113,0,0
114,505.4916661,598.001041
115,0,0
116,503.6815635,589.3435746
117,0,0
118,549.1130676,556.1493152
119,0,0
120,0,0
121,567.9999975,532.9999977
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,474.5494693,597.0031341
135,0,0
136,439.4999997,596.9973294
137,0,0
138,0,0
139,441.8491598,572.7981633
140,420.0853734,556.4220547
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,368.3224361,580.0040303
153,346.1350874,568.7677909
154,344.2477336,569.6354584
155,0,0
156,341.5413521,560.9709779
157,374.9999984,547.9999976
158,0,0
159,0,0
160,0,0
161,447.2623631,577.0020819
162,414.8008365,592.9983259
163,409.3414281,594.7248437
164,0,0
165,403.9574891,566.6044681
166,0,0
167,0,0
168,351.4351405,552.8776414
169,332.1285265,558.6811462
170,0,0
171,308.9821135,540.24577
172,317.5206202,560.5161902
173,349.9999993,561.5095126
174,341.2726289,571.1565993
175,0,0
176,373.0825365,537.7970043
177,381.7578823,540.1158144
178,351.120289,563.7372686
179,369.6888255,568.6591223
180,378.3779579,590.4565612
181,410.108125,564.3533333
182,415.3972489,587.7896435
183,420.0059774,587.7950465
184,0,0
185,0,0
186,450.2056677,596.3983801
187,477.4399909,594.1282899
188,459.252336,580.0228447
189,486.7091573,592.6949802
190,482.5980999,561.108134
191,503.9999977,579.9999974
192,485.0237267,555.2922888
193,496.8089447,587.4350031
194,500.8920484,608.5027915
195,512.7863893,624.8476675
196,0,0
197,0,0
198,532.3400884,601.8316016
199,529.1087518,574.9068153
200,539.7809045,567.8635815
201,553.0654454,549.9652789
202,560.3439131,562.5373271
203,578.82194,572.6221856
204,545.1167157,564.479474
205,0,0
206,0,0
207,505.4147264,590.3339153
208,479.3106456,593.3687132
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,581.7246594,507.6435698
217,567.9999976,520.9999978
218,557.6867108,527.8960649
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,439.5030299,517.4999995
239,427.3104423,529.7044246
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,418.733881,518.3259895
246,0,0
247,0,0
248,0,0
249,448.9999991,577.5122437
250,0,0
251,383.7158677,537.9249004
252,380.6178403,520.6156493
253,0,0
254,0,0
255,318.3342242,524.3315501
256,331.1021928,538.5030699
257,338.8874045,549.1351143
258,338.6741572,544.8916532
259,0,0
260,338.4902091,515.0283589
261,375.2776319,526.6451969
262,0,0
263,395.0698867,533.3879751
264,412.7476968,525.9289747
265,429.097292,554.8339548
266,0,0
267,0,0
268,0,0
269,435.253411,531.0398635
270,460.4998985,544.6594784
271,478.0417613,554.8453965
272,501.4295963,547.8344576
273,523.1063158,538.4280921
274,538.9411118,525.083262
275,486.0124475,496.0069149
276,501.4251583,533.3246606
277,485.5248091,523.1387924
278,467.9355643,531.5832104
279,0,0
280,0,0
281,474.8180846,501.766353
282,0,0
283,511.6671189,480.327445
284,519.560714,489.338674
285,544.8742585,461.8932288
286,555.5386022,487.3309643
287,556.4443973,484.4827366
288,556.8392818,487.2400084
289,555.3438151,492.9289436
290,0,0
291,559.4879109,461.999999
292,524.3461531,490.6524719
293,0,0
294,0,0
295,489.4301095,496.3781964
296,472.3837387,502.4068369
297,0,0
298,0,0
299,0,0
300,0,0
301,0,0
302,0,0
303,481.2686211,493.6737981
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,403.4477789,459.1626648
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
